unlocked,category,recipe,largeleek,tastymushroom,fancyegg,softpotato,fancyapple,fieryherb,beansausage,moomoomilk,honey,pureoil,warmingginger,snoozytomato,soothingcacao,slowpoketail,greengrasssoybeans,greengrasscorn,tastycoffee,heavypumpkin,shinyavocado,total,energy
1,カレー・シチュー,とくせんリンゴカレー,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,748
1,カレー・シチュー,あぶりテールカレー,0,0,0,0,0,25,0,0,0,0,0,0,0,8,0,0,0,0,0,33,7483
1,カレー・シチュー,サンパワートマトカレー,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,15,2078
1,カレー・シチュー,キノコのほうしカレー,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4162
1,カレー・シチュー,おやこあいカレー,0,0,8,4,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,35,4523
1,カレー・シチュー,満腹チーズバーグカレー,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,16,1910
1,カレー・シチュー,ほっこりホワイトシチュー,0,4,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,22,3181
1,カレー・シチュー,たんじゅんホワイトシチュー,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,814
1,カレー・シチュー,マメバーグカレー,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,856
1,カレー・シチュー,ベイビィハニーカレー,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,839
1,カレー・シチュー,ニンジャカレー,12,5,0,0,0,0,9,0,0,0,0,0,0,0,24,0,0,0,0,50,9445
1,カレー・シチュー,ひでりカツレツカレー,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,15,1942
1,カレー・シチュー,とけるオムカレー,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,2150
1,カレー・シチュー,ビルドアップマメカレー,0,0,4,0,0,4,6,0,0,0,0,0,0,0,12,0,0,0,0,26,3372
1,カレー・シチュー,じゅうなんコーンシチュー,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,30,4670
1,カレー・シチュー,れんごくコーンキーマカレー,0,0,0,0,0,27,24,0,0,0,12,0,0,0,0,14,0,0,0,77,13690
1,カレー・シチュー,ピヨピヨパンチ辛口カレー,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,0,0,33,5702
0,カレー・シチュー,めざめるパワーシチュー,0,23,0,0,0,0,0,0,0,0,0,25,0,0,28,0,16,0,0,92,19061
0,カレー・シチュー,いあいぎりすき焼きカレー,27,0,22,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,101,20655
0,カレー・シチュー,なりきりバケッチャシチュー,0,25,0,18,0,0,16,0,0,0,0,0,0,0,0,0,0,10,0,69,15621
0,カレー・シチュー,しんりょくアボカドグラタン,0,0,0,20,0,0,0,41,0,32,0,0,0,0,0,0,0,0,22,115,24802
1,サラダ,ヤドンテールのペッパーサラダ,0,0,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,0,0,35,8169
0,サラダ,キノコのほうしサラダ,0,17,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,33,5859
1,サラダ,ゆきかきシーザーサラダ,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,16,1898
0,サラダ,くいしんぼうポテトサラダ,0,0,9,14,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,5040
1,サラダ,うるおいとうふサラダ,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,24,3113
0,サラダ,ばかぢからワイルドサラダ,0,0,5,3,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,23,3046
1,サラダ,マメハムサラダ,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,978
1,サラダ,あんみんトマトサラダ,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,1045
1,サラダ,モーモーカプレーゼ,0,0,0,0,0,0,0,12,0,5,0,6,0,0,0,0,0,0,0,23,2942
0,サラダ,ムラっけチョコミートサラダ,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,23,3665
1,サラダ,オーバーヒートサラダ,0,0,0,0,0,17,0,0,0,0,10,8,0,0,0,0,0,0,0,35,5225
1,サラダ,とくせんリンゴサラダ,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,855
1,サラダ,めんえきねぎサラダ,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,2845
0,サラダ,メロメロりんごのチーズサラダ,0,0,0,0,15,0,0,5,0,3,0,0,0,0,0,0,0,0,0,23,2655
0,サラダ,ニンジャサラダ,15,12,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,0,0,57,11659
1,サラダ,ねっぷうとうふサラダ,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,16,2114
1,サラダ,ワカクササラダ,0,0,0,9,0,0,0,0,0,22,0,14,0,0,0,17,0,0,0,62,11393
0,サラダ,めいそうスイートサラダ,0,0,0,0,21,0,0,0,16,0,0,0,0,0,0,12,0,0,0,49,7675
1,サラダ,みだれづきコーンサラダ,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,17,2785
0,サラダ,クロスチョップドサラダ,0,0,20,0,0,0,15,0,0,0,0,10,0,0,0,11,0,0,0,56,8755
0,サラダ,まけんきコーヒーサラダ,0,0,0,22,0,0,28,0,0,22,0,0,0,0,0,0,28,0,0,100,20218
0,サラダ,はなふぶきミモザサラダ,0,0,25,15,0,0,12,0,0,17,0,0,0,0,0,0,0,0,0,69,11881
0,サラダ,りんごさんヨーグルトサラダ,0,0,35,0,28,0,0,18,0,0,0,23,0,0,0,0,0,0,0,104,19293
0,サラダ,くだけるアボカドサラダ,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,0,14,42,7125
0,サラダ,じならしワカモレチップス,0,0,0,0,0,30,0,0,0,0,0,0,0,0,22,25,0,0,28,105,25162
0,サラダ,ごろごろねっとうサラダ,0,27,0,30,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,95,25356
1,デザート・ドリンク,じゅくせいスイートポテト,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,1907
1,デザート・ドリンク,ふくつのジンジャークッキー,0,0,4,0,0,0,0,0,14,0,12,0,5,0,0,0,0,0,0,35,4921
1,デザート・ドリンク,とくせんリンゴジュース,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,855
1,デザート・ドリンク,クラフトサイコソーダ,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,1079
1,デザート・ドリンク,ひのこのジンジャーティー,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,1913
1,デザート・ドリンク,プリンのプリンアラモード,0,0,15,0,10,0,0,10,20,0,0,0,0,0,0,0,0,0,0,55,7594
1,デザート・ドリンク,あくまのキッスフルーツオレ,0,0,0,0,11,0,0,9,7,0,0,0,8,0,0,0,0,0,0,35,4734
